Year,Emissions growth to 2050,Emissions level to 2020,Emissions stop in 2020
1950,0,0,0
1951,400,400,400
1952,600,600,600
1953,1000,1000,1000
1954,1300,1300,1300
1955,1800,1800,1800
1956,2400,2400,2400
1957,3000,3000,3000
1958,3800,3800,3800
1959,4600,4600,4600
1960,5600,5600,5600
1961,6700,6700,6700
1962,8100,8100,8100
1963,9600,9600,9600
1964,11500,11500,11500
1965,13500,13500,13500
1966,16000,16000,16000
1967,18800,18800,18800
1968,22000,22000,22000
1969,25900,25900,25900
1970,30200,30200,30200
1971,34900,34900,34900
1972,40300,40300,40300
1973,46500,46500,46500
1974,53100,53100,53100
1975,59200,59200,59200
1976,66200,66200,66200
1977,73600,73600,73600
1978,81600,81600,81600
1979,90400,90400,90400
1980,99300,99300,99300
1981,108400,108400,108400
1982,117800,117800,117800
1983,127800,127800,127800
1984,138500,138500,138500
1985,149600,149600,149600
1986,161300,161300,161300
1987,174000,174000,174000
1988,187300,187300,187300
1989,201200,201200,201200
1990,215900,215900,215900
1991,231000,231000,231000
1992,247000,247000,247000
1993,263600,263600,263600
1994,281600,281600,281600
1995,300200,300200,300200
1996,320200,320200,320200
1997,341500,341500,341500
1998,363900,363900,363900
1999,387800,387800,387800
2000,413100,413100,413100
2001,439200,439200,439200
2002,466800,466800,466800
2003,495500,495500,495500
2004,525900,525900,525900
2005,557100,557100,557100
2006,590200,590200,590200
2007,625000,625000,625000
2008,658800,658800,658800
2009,693400,693400,693400
2010,730100,730100,730100
2011,768000,768000,768000
2012,807200,807200,807200
2013,847900,847900,847900
2014,890200,890200,890200
2015,934100,934100,934100
2016,979500,979500,979500
2017,1026500,1026500,1026500
2018,1075200,1075200,1075200
2019,1125400,1125400,1125400
2020,1177400,1177400,1136000
2021,1231200,1229700,1141600
2022,1286800,1281900,1141400
2023,1344400,1334100,1136200
2024,1403900,1385800,1127400
2025,1465500,1437100,1116200
2026,1529300,1487900,1103700
2027,1595300,1538000,1090700
2028,1663700,1587600,1077300
2029,1734500,1636500,1063800
2030,1807700,1684700,1049900
2031,1883600,1732300,1035800
2032,1962200,1779300,1021300
2033,2043500,1825500,1006500
2034,2127800,1871100,991600
2035,2215100,1916000,976600
2036,2305500,1960200,961700
2037,2399100,2003700,947000
2038,2496100,2046600,932500
2039,2596600,2088700,918300
2040,2700600,2130200,904500
2041,2808400,2171000,890900
2042,2920100,2211100,877600
2043,3035800,2250700,864700
2044,3155700,2289600,851900
2045,3279900,2327900,839500
2046,3408600,2365500,827100
2047,3542000,2402600,815000
2048,3680200,2439100,802800
2049,3823500,2475000,790700
2050,3971900,2510400,778600
